buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,houseType,jibun,plottageAr,sggCd,slerGbn,totalFloorAr,umdNm,lawd_cd,deal_ym,sggNm
1970.0,,,,"35,000",20,3,2022,중개거래,경기 수원팔달구,단독,2**,132.0,41115,,61.95,지동,41115,202203,
1979.0,,,,"29,800",1,3,2022,중개거래,경기 수원팔달구,단독,2**,137.0,41115,,115.41,지동,41115,202203,
1995.0,,,,"39,700",22,3,2022,중개거래,경기 수원팔달구,다가구,1**,143.0,41115,,190.92,화서동,41115,202203,
1985.0,,,,"33,750",21,3,2022,중개거래,경기 수원팔달구,단독,1**,112.4,41115,,66.25,화서동,41115,202203,
1995.0,,22.06.20,O,"40,000",22,3,2022,중개거래,경기 수원팔달구,다가구,1**,149.0,41115,,190.92,화서동,41115,202203,
1999.0,,,,"450,000",4,3,2022,중개거래,경기 수원팔달구,단독,1**,460.5,41115,,1482.6,화서동,41115,202203,
2019.0,,,,"160,000",30,3,2022,중개거래,경기 수원영통구,다가구,1**,229.6,41117,,432.16,매탄동,41117,202203,
1990.0,,,,"67,000",31,3,2022,중개거래,경기 수원영통구,단독,2**,217.0,41117,,276.9,매탄동,41117,202203,
2002.0,,,,"89,000",21,3,2022,중개거래,경기 수원영통구,다가구,1***,278.6,41117,,503.5,매탄동,41117,202203,
1993.0,,,,"175,000",2,3,2022,중개거래,경기 수원영통구 경기 수원팔달구,다가구,8**,502.7,41117,,421.11,매탄동,41117,202203,
1999.0,,,,"86,000",21,3,2022,중개거래,경기 수원영통구,다가구,1***,189.8,41117,,324.84,영통동,41117,202203,
1985.0,,,,"57,400",20,4,2022,중개거래,경기 수원장안구,단독,2**,139.0,41111,,165.03,영화동,41111,202204,
1974.0,,,,"23,800",12,4,2022,중개거래,경기 수원장안구 경기 수원팔달구,단독,3*,86.0,41111,,33.72,영화동,41111,202204,
1997.0,,,,"49,000",19,4,2022,중개거래,경기 수원장안구,단독,4**,126.4,41111,,222.75,영화동,41111,202204,
1979.0,,,,"105,000",4,4,2022,중개거래,경기 수원장안구 경기 수원팔달구,단독,4**,303.8,41111,,201.28,영화동,41111,202204,
1983.0,,,,"44,800",5,4,2022,중개거래,경기 수원장안구,단독,4**,150.3,41111,,144.48,영화동,41111,202204,
1988.0,,,,"91,000",27,4,2022,중개거래,경기 수원장안구,단독,4**,199.0,41111,,245.36,율전동,41111,202204,
1982.0,,,,"59,000",9,4,2022,중개거래,경기 수원장안구,단독,4**,158.0,41111,,163.4,율전동,41111,202204,
1993.0,,,,"61,000",4,4,2022,중개거래,경기 수원장안구,다가구,3*,206.1,41111,,355.26,정자동,41111,202204,
1983.0,,,,"63,500",2,4,2022,중개거래,경기 수원장안구,단독,4*,149.3,41111,,166.07,정자동,41111,202204,
1989.0,,22.06.27,O,"70,000",27,4,2022,중개거래,경기 수원장안구,단독,7**,175.2,41111,,414.12,조원동,41111,202204,
1988.0,,,,"39,000",26,4,2022,중개거래,경기 수원장안구,단독,7**,123.0,41111,,147.41,조원동,41111,202204,
1996.0,,,,"22,000",19,4,2022,중개거래,경기 수원장안구,단독,6**,66.0,41111,,49.4,조원동,41111,202204,
2016.0,,,,"123,000",12,4,2022,중개거래,경기 수원장안구,다가구,4**,362.0,41111,,474.6,조원동,41111,202204,
1981.0,,,,"82,500",5,4,2022,중개거래,경기 수원장안구,다가구,5**,248.0,41111,,250.17,조원동,41111,202204,
2002.0,,,,"88,000",2,4,2022,중개거래,경기 수원장안구,다가구,8**,237.7,41111,,501.36,조원동,41111,202204,
1984.0,,,,"63,000",1,4,2022,중개거래,경기 수원장안구,단독,7**,206.9,41111,,162.48,조원동,41111,202204,
1991.0,,,,"60,200",30,4,2022,중개거래,경기 수원장안구,단독,2**,144.0,41111,,199.23,천천동,41111,202204,
2022.0,,,,"132,000",29,4,2022,중개거래,경기 수원장안구,다가구,5**,186.5,41111,,390.41,파장동,41111,202204,
1983.0,,,,"29,500",6,4,2022,중개거래,경기 수원권선구,단독,4*,106.0,41113,,117.78,고색동,41113,202204,
2008.0,,,,"139,500",29,4,2022,중개거래,경기 수원영통구,단독,5**,207.4,41113,,823.6,곡반정동,41113,202204,
2010.0,,,,"100,000",25,4,2022,중개거래,경기 수원권선구 경기 수원장안구,단독,9**,218.1,41113,,402.61,구운동,41113,202204,
2003.0,,,,"69,000",29,4,2022,중개거래,경기 수원권선구,단독,9**,237.5,41113,,502.9,구운동,41113,202204,
1989.0,,,,"17,000",28,4,2022,직거래,,단독,5**,134.9,41113,,162.18,구운동,41113,202204,
1991.0,,,,"52,500",20,4,2022,중개거래,경기 수원권선구,다가구,5**,202.7,41113,,289.37,구운동,41113,202204,
2014.0,,,,"28,000",7,4,2022,중개거래,경기 수원권선구,단독,5**,97.2,41113,,164.88,구운동,41113,202204,
1988.0,,,,"198,700",13,4,2022,중개거래,경기 수원권선구,단독,1***,392.2,41113,,779.58,권선동,41113,202204,
1996.0,,,,"70,000",18,4,2022,중개거래,경기 수원권선구,다가구,9*,191.0,41113,,326.04,서둔동,41113,202204,
2011.0,,,,"66,000",6,4,2022,중개거래,경기 수원권선구,다가구,2*,158.0,41113,,247.85,서둔동,41113,202204,
1991.0,,,,"50,000",28,4,2022,중개거래,경기 수원권선구,단독,4**,179.4,41113,,255.1,세류동,41113,202204,
1979.0,,22.06.19,O,"53,000",28,4,2022,중개거래,경기 수원권선구,단독,1**,164.0,41113,,82.02,세류동,41113,202204,
1979.0,,22.06.21,O,"45,000",28,4,2022,중개거래,경기 수원권선구,단독,1**,166.0,41113,,126.9,세류동,41113,202204,
1974.0,,,,"27,200",25,4,2022,중개거래,경기 수원권선구,단독,6**,112.0,41113,,44.36,세류동,41113,202204,
2019.0,,,,"180,000",15,4,2022,중개거래,경기 수원권선구,다가구,4**,192.1,41113,,467.42,세류동,41113,202204,
1994.0,,,,"35,000",23,4,2022,중개거래,경기 수원권선구,단독,1***,116.0,41113,,69.08,세류동,41113,202204,
1989.0,,,,"30,000",16,4,2022,중개거래,경기 수원팔달구,다가구,2**,144.0,41113,,211.01,세류동,41113,202204,
1978.0,,,,"52,500",12,4,2022,중개거래,경기 수원권선구,단독,4**,151.0,41113,,83.43,세류동,41113,202204,
1982.0,,,,"85,000",12,4,2022,중개거래,경기 수원권선구,단독,4**,182.0,41113,,164.8,세류동,41113,202204,
1981.0,,,,"38,000",14,4,2022,직거래,,다가구,1***,155.0,41113,,150.84,세류동,41113,202204,
1984.0,,,,"31,700",12,4,2022,중개거래,경기 수원권선구,단독,4**,156.7,41113,,189.3,세류동,41113,202204,
1994.0,,,,"70,000",20,4,2022,중개거래,경기 수원권선구,단독,9*,167.0,41113,,245.39,세류동,41113,202204,
1988.0,,,,"32,500",1,4,2022,중개거래,경기 수원권선구,단독,4**,156.0,41113,,153.54,세류동,41113,202204,
1955.0,,,,"80,000",9,4,2022,중개거래,경기 수원팔달구,단독,2**,307.0,41113,,39.34,세류동,41113,202204,
1944.0,,,,"60,000",9,4,2022,중개거래,경기 수원팔달구,단독,2**,165.0,41113,,54.21,세류동,41113,202204,
1947.0,,,,"25,000",9,4,2022,중개거래,경기 수원팔달구,단독,2**,66.0,41113,,31.97,세류동,41113,202204,
1981.0,,,,"97,000",9,4,2022,중개거래,경기 수원팔달구,다가구,2**,202.0,41113,,160.53,세류동,41113,202204,
1985.0,,,,"191,100",1,4,2022,중개거래,경기 수원시 권선구,단독,1***,452.0,41113,,239.22,세류동,41113,202204,
2003.0,,,,"62,300",28,4,2022,중개거래,경기 수원권선구,단독,8**,235.2,41113,,280.44,탑동,41113,202204,
2016.0,,,,"171,000",30,4,2022,중개거래,경기 수원권선구,다가구,1***,250.7,41113,,494.56,호매실동,41113,202204,
